player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000108,D.Akers,PHI,2002,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,10,0,0,0,1,2.614750746230129,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1
00-0000145,D.Alexander,MIN,2002,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,3,11,0,0,0,0,0,1,-3.1305421195575036,0,0,1.1,2.1
00-0000145,D.Alexander,MIN,2002,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,9,25,1,0,0,0,0,1,2.3309067182126455,0,0,8.5,11.5
00-0000145,D.Alexander,MIN,2002,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,12,0,0,0,0,0,1,0.6275780641008168,0,0,1.2000000000000002,2.2
00-0000145,D.Alexander,MIN,2002,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,12,24,0,0,0,0,0,1,-6.205979739956092,0,0,2.4000000000000004,6.4
00-0000145,D.Alexander,MIN,2002,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,5,31,0,0,0,0,0,2,-5.2859972974983975,0,0,3.1,5.1
00-0000145,D.Alexander,MIN,2002,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,4,22,0,0,0,0,0,1,0.0856093936599791,0,0,2.2,4.2
00-0000145,D.Alexander,MIN,2002,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,9,0,0,0,0,0,0,0.2290503664407879,0,0,0.9,1.9
00-0000145,D.Alexander,MIN,2002,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,-1.5913565685041249,0,0,0,0
00-0000166,S.Alexander,LAC,2002,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,-0.42715511401183903,0,0,0,0
00-0000166,S.Alexander,LAC,2002,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,7,3,0,0,0,0,0,0,-4.362159384356346,0,0,0.30000000000000004,3.3
00-0000166,S.Alexander,LAC,2002,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,4,44,0,0,0,0,0,3,5.773033408797346,0,0,4.4,7.4
00-0000166,S.Alexander,LAC,2002,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,0,0,-1.8196187857538462,0,0,0,0
