player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000865,C.Batch,PIT,2012,12,REG,20,34,199,0,3,1,6,0,0,327,129,10,-8.355753328709397,0,-0.007178341820144991,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.96,1.96
00-0000865,C.Batch,PIT,2012,13,REG,25,36,276,1,1,2,6,1,0,336,128,12,6.709721628173835,0,0.16779521810071987,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.040000000000001,13.040000000000001
00-0004541,D.Driver,GB,2012,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,26,1,0,0,24,2,1,2.8629549386678264,0,0,8.6,9.6
00-0004541,D.Driver,GB,2012,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,10,0,0,-1.1731888262052337,0,0,0,0
00-0004541,D.Driver,GB,2012,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,3,0,0,0,14,0,0,-0.4231906332424842,0,0,0.30000000000000004,1.3
00-0004541,D.Driver,GB,2012,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,14,0,0,0,26,1,1,-0.1999137262464501,0,0,1.4000000000000001,2.4000000000000004
00-0004541,D.Driver,GB,2012,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,2,0,0,0,1,1,0,-1.227478152140975,0,0,0.2,1.2
00-0004541,D.Driver,GB,2012,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,2,10,1,0,0,8,2,1,1.8453671299503185,0,0,7,9
00-0004541,D.Driver,GB,2012,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,10,0,0,0,21,1,1,0.9997030320810154,0,0,1,2
00-0004541,D.Driver,GB,2012,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,12,0,0,0,7,5,1,2.1792069100774825,0,0,1.2000000000000002,2.2
00-0004541,D.Driver,GB,2012,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,10,0,0,-0.7228911956772208,0,0,0,0
00-0006101,T.Gonzalez,ATL,2012,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,6,53,1,0,0,39,29,4,5.93020361624076,0,0,11.3,16.3
00-0006101,T.Gonzalez,ATL,2012,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,7,10,70,1,0,0,70,12,6,6.086696450569434,0,0,13,20
00-0006101,T.Gonzalez,ATL,2012,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,9,12,91,1,0,0,95,18,7,6.854603905696422,0,0,15.1,24.1
00-0006101,T.Gonzalez,ATL,2012,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,5,51,0,0,0,29,22,3,4.25425015122164,0,0,5.1000000000000005,10.100000000000001
00-0006101,T.Gonzalez,ATL,2012,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,13,14,123,1,0,0,88,50,9,10.609847129962873,0,0,18.3,31.3
00-0006101,T.Gonzalez,ATL,2012,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,7,42,0,0,0,77,8,2,-5.090360454062088,0,0,4.2,8.2
00-0006101,T.Gonzalez,ATL,2012,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,5,29,0,0,0,38,5,3,1.5329116675420664,0,0,2.9000000000000004,5.9
00-0006101,T.Gonzalez,ATL,2012,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,5,36,0,0,0,41,6,2,0.3968472571306281,0,0,3.6,7.6
00-0006101,T.Gonzalez,ATL,2012,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,11,15,122,2,0,0,113,21,8,12.201826858421555,0,0,24.200000000000003,35.2
00-0006101,T.Gonzalez,ATL,2012,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,8,33,0,0,0,93,6,3,-2.753059732494876,0,0,3.3000000000000003,6.300000000000001
00-0006101,T.Gonzalez,ATL,2012,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,5,62,0,0,0,43,19,3,7.2545607958326865,0,0,6.2,11.2
00-0006101,T.Gonzalez,ATL,2012,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,5,58,1,0,0,48,13,3,6.401137842447497,0,0,11.8,15.8
00-0006101,T.Gonzalez,ATL,2012,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,8,9,61,0,0,0,57,8,4,2.485010842559859,0,0,6.1000000000000005,14.100000000000001
00-0006101,T.Gonzalez,ATL,2012,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,6,7,49,1,0,0,40,14,5,6.411107360734604,0,0,10.9,16.9
00-0006101,T.Gonzalez,ATL,2012,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,9,0,0,0,11,5,1,0.177849933039397,0,0,0.9,1.9
00-0006101,T.Gonzalez,ATL,2012,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,9,41,0,0,0,83,16,2,-1.6297701234580018,0,0,4.1000000000000005,9.100000000000001
00-0006101,T.Gonzalez,ATL,2012,19,POST,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,6,7,51,1,0,0,54,11,5,1.9107590891653263,0,0,11.100000000000001,17.1
00-0006101,T.Gonzalez,ATL,2012,20,POST,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,8,8,78,1,0,0,58,20,5,7.236144401947968,0,0,13.8,21.8
00-0007091,M.Hasselbeck,TEN,2012,1,REG,6,11,43,0,0,0,-0,0,0,34,35,3,-2.8036942584301943,0,-0.04496234129028077,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.72,1.72
00-0007091,M.Hasselbeck,TEN,2012,4,REG,17,25,193,2,2,3,18,1,1,172,119,9,-14.899993397470098,0,0.04803069443932761,2,3,0,0,0,0,-0.25128745584515855,0,0,0,0,0,0,0,0,0,0,NA,0,0,10.02,10.02
