player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000003,A.al-Jabbar,IND,2000,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,-2,0,0,0,0,-0.5499439109698869,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.2,-0.2
00-0000007,R.Abdullah,TB,2000,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,3,0,0,0,0,0,0,-0.3121196409338154,0,0,0.30000000000000004,1.3
00-0000007,R.Abdullah,TB,2000,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,18,0,0,0,1,1.464473967673257,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.8,1.8
00-0000007,R.Abdullah,TB,2000,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,10,38,0,0,0,3,-3.152881089190487,0,1,1,11,0,0,0,0,0,1,0.6094931371044368,0,0,4.9,5.9
00-0000007,R.Abdullah,TB,2000,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,4,14,0,0,0,1,-1.1400987311523525,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.4000000000000001,1.4000000000000001
00-0000017,D.Abraham,TB,2000,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,1,6,6
00-0000098,L.Aguiar,CHI,2000,10,REG,1,1,13,0,0,0,-0,0,0,0,0,1,2.7400032459991053,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.52,0.52
00-0000104,T.Aikman,DAL,2000,1,REG,0,5,0,0,1,4,30,0,0,0,0,0,-16.387786497361958,0,0.09104378185713682,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,-2,-2
00-0000104,T.Aikman,DAL,2000,4,REG,15,26,197,1,1,1,7,1,1,0,0,7,-5.810466497164183,0,0.027610207682871597,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.879999999999999,7.879999999999999
00-0000104,T.Aikman,DAL,2000,5,REG,15,23,131,0,2,2,13,0,0,0,0,6,-3.653444024783348,1,0.031639127601682776,2,2,0,0,0,1,0.6693125151505228,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.4400000000000004,3.4400000000000004
00-0000104,T.Aikman,DAL,2000,7,REG,20,40,201,1,5,2,18,0,0,0,0,13,-9.821423682151362,0,0.024096003268846478,2,7,0,0,0,1,0.042539431946352124,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.740000000000001,2.740000000000001
00-0000104,T.Aikman,DAL,2000,8,REG,9,15,154,2,0,1,7,0,0,0,0,7,9.494457862339825,0,0.21486692426522402,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.16,14.16
00-0000104,T.Aikman,DAL,2000,9,REG,4,5,43,1,0,0,-0,0,0,0,0,3,4.906407470349222,0,0.35558004349904365,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,5.72,5.72
