player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,NE,2018,1,REG,26,39,277,3,1,2,10,0,0,320,93,16,8.182893924540839,0,0.15031980310007417,1,2,0,0,0,1,1.8376272431341931,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.279999999999998,21.279999999999998
00-0019596,T.Brady,NE,2018,2,REG,24,35,234,2,0,2,14,1,1,213,136,12,4.945606922660005,0,0.12877213653965885,3,10,0,0,0,2,2.32897359773051,0,0,0,0,0,0,0,0,0,0,NA,0,0,16.36,16.36
00-0019596,T.Brady,NE,2018,3,REG,14,26,133,1,1,2,13,0,0,333,48,4,-10.869922926241998,0,-0.008199485914647156,1,2,0,0,0,1,-0.24584260233677924,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.5200000000000005,7.5200000000000005
00-0019596,T.Brady,NE,2018,4,REG,23,35,274,3,2,0,-0,0,0,279,181,13,11.914712483420145,0,0.21575050934972073,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.96,18.96
00-0019596,T.Brady,NE,2018,5,REG,34,44,341,3,2,0,-0,0,0,285,167,18,9.879804473090307,0,0.1667610522561459,3,-1,1,0,0,1,0.7314147772267461,0,0,0,0,0,0,0,0,0,0,NA,0,0,27.54,27.54
00-0019596,T.Brady,NE,2018,6,REG,24,35,340,1,0,2,13,2,1,323,172,14,2.1071922555254807,0,0.14269885451398376,3,2,1,0,0,1,1.8861542726788736,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.8,21.8
00-0019596,T.Brady,NE,2018,7,REG,25,36,277,3,1,1,4,0,0,235,132,15,14.705605775836803,0,0.19137011761275521,1,6,0,0,0,0,-0.3714595274068415,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.68,21.68
00-0019596,T.Brady,NE,2018,8,REG,29,45,324,0,0,2,13,1,0,343,132,15,8.506985919164991,0,0.12280710090555635,1,8,0,0,0,1,1.4394456304144114,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.760000000000002,13.760000000000002
00-0019596,T.Brady,NE,2018,9,REG,22,35,294,1,0,2,21,0,0,266,159,12,0.21164952870348497,0,0.06145881601870532,5,-1,0,0,0,1,-2.4935721780057065,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.66,15.66
00-0019596,T.Brady,NE,2018,10,REG,21,41,254,0,0,3,23,0,0,354,118,12,-3.9169464584651177,0,-0.042353546136865275,1,0,0,0,0,0,-1.4635620342451148,0,1,1,6,0,0,0,0,6,0,-0.22058557346463203,0,0,10.76,11.76
00-0019596,T.Brady,NE,2018,12,REG,20,31,283,2,0,0,-0,0,0,297,109,12,15.240787663503896,0,0.20684950895659632,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.22,19.22
00-0019596,T.Brady,NE,2018,13,REG,24,32,311,1,1,0,-0,0,0,123,228,14,9.387925648456106,0,0.1810937996288918,2,5,0,0,0,1,1.2151817025151104,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.939999999999998,14.939999999999998
00-0019596,T.Brady,NE,2018,14,REG,27,43,358,3,0,2,14,0,0,360,137,21,19.845912786265306,0,0.24511785731542618,1,3,0,0,0,1,0.05856205278541893,0,0,0,0,0,0,0,0,0,0,NA,0,0,26.62,26.62
00-0019596,T.Brady,NE,2018,15,REG,25,36,279,1,1,1,7,0,0,334,129,9,1.6708169225603342,0,0.10504807023650117,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.16,13.16
00-0019596,T.Brady,NE,2018,16,REG,13,24,126,1,2,1,9,0,0,105,93,4,-12.241974662407301,0,-0.0559901567476015,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,5.039999999999999,5.039999999999999
00-0019596,T.Brady,NE,2018,17,REG,24,33,250,4,0,1,6,0,0,317,87,14,12.980893960751294,0,0.2483880221412615,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,26,26
00-0019596,T.Brady,NE,2018,19,POST,34,44,343,1,0,0,-0,0,0,181,217,18,13.966160070592904,0,0.19954593300952317,2,-1,0,0,0,0,-1.390037296921946,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.619999999999997,17.619999999999997
00-0019596,T.Brady,NE,2018,20,POST,30,46,348,1,2,0,-0,0,0,388,151,20,12.540144872386009,0,0.16078144183876855,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.820000000000002,13.820000000000002
00-0019596,T.Brady,NE,2018,21,POST,21,35,262,0,1,1,9,1,0,268,126,12,-3.194271085150269,0,-0.010396237725110932,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.280000000000001,8.280000000000001
00-0020531,D.Brees,NO,2018,1,REG,37,45,439,3,0,1,7,0,0,348,167,19,22.273555751027697,1,0.2854841094129862,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,31.56,31.56
00-0020531,D.Brees,NO,2018,2,REG,28,35,243,2,0,3,30,0,0,255,130,11,3.4693237835229085,0,0.15008109404196135,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.619999999999997,17.619999999999997
