player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0023459,Aa.Rodgers,GB,2021,5,REG,27,39,344,2,1,2,11,0,0,331,176,16,9.05295175071285,0,1.039274924471299,0.22558709800765156,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,19.759999999999998,19.759999999999998
00-0023459,Aa.Rodgers,GB,2021,6,REG,17,23,195,2,0,3,26,0,0,195,128,10,6.792425695280425,0,1,0.25306815201891775,7,19,1,0,0,3,2.1565131834940985,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,23.7,23.7
00-0023459,Aa.Rodgers,GB,2021,7,REG,27,35,274,3,0,3,27,0,0,210,123,16,10.892633419566874,0,1.3047619047619048,0.22435603411724614,2,17,0,0,0,1,2.40219921793323,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,24.66,24.66
00-0023459,Aa.Rodgers,GB,2021,8,REG,22,37,184,2,0,1,-0,0,0,165,138,10,1.4296646110614804,0,1.1151515151515152,0.020698276229810242,2,3,0,0,0,0,0.5177352863247506,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,15.66,15.66
00-0023682,R.Fitzpatrick,WAS,2021,1,REG,3,6,13,0,0,1,2,1,0,9,6,0,-4.274623142583149,0,1.4444444444444444,-0.06532716211840717,1,2,0,0,0,0,-1.195524337576888,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.72,0.72
00-0024243,M.Lewis,GB,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,19,0,0,0,5,14,1,1.3413259310182184,0,3.8,0.030303030303030304,0.015105740181268883,0.056028563581433675,0,1.9000000000000001,2.9000000000000004
00-0024243,M.Lewis,GB,2021,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,2,7,0,0,0,31,5,0,-0.43449872406199574,0,0.22580645161290322,0.05714285714285714,0.09627329192546584,0.1531055900621118,0,0.7000000000000001,1.7000000000000002
00-0024243,M.Lewis,GB,2021,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,2,34,0,0,0,11,23,2,2.5027961400337517,0,3.090909090909091,0.05714285714285714,0.03353658536585366,0.10918989547038327,0,3.4000000000000004,5.4
00-0024243,M.Lewis,GB,2021,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,2,17,0,0,0,5,12,0,1.3929321308387443,0,3.4,0.09523809523809523,0.030120481927710843,0.16394148020654042,0,1.7000000000000002,3.7
00-0024243,M.Lewis,GB,2021,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,3,31,0,0,0,12,19,2,1.6706302190432325,0,2.5833333333333335,0.08823529411764706,0.058823529411764705,0.17352941176470588,0,3.1,6.1
00-0024243,M.Lewis,GB,2021,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,3,0,0,-0.3971414270927198,0,0,0.02857142857142857,0.02608695652173913,0.06111801242236024,0,0,0
00-0026035,D.Amendola,HOU,2021,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,5,5,34,1,0,0,20,14,2,3.8470692208211403,0,1.7,0.15625,0.06734006734006734,0.28151304713804715,0,9.4,14.4
00-0026035,D.Amendola,HOU,2021,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,1,1,9,0,0,0,4,5,0,0.6094703713897616,0,2.25,0.03571428571428571,0.01593625498007968,0.06472680705748435,0,0.9,1.9
00-0026035,D.Amendola,HOU,2021,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,3,5,17,0,0,0,20,8,1,0.9160864416626282,0,0.85,0.16129032258064516,0.13071895424836602,0.33343875184482397,0,1.7000000000000002,4.7
00-0026035,D.Amendola,HOU,2021,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,5,3,0,1,0,22,1,0,-8.098983752424829,0,0.13636363636363635,0.1388888888888889,0.0912863070539419,0.2722337482710927,0,0.30000000000000004,2.3
00-0026143,M.Ryan,ATL,2021,1,REG,21,35,164,0,0,3,28,0,0,179,67,8,-15.975289404987098,0,0.9162011173184358,-0.015337517662051173,2,8,0,1,0,0,-1.3091508568031713,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,7.36,7.36
00-0026143,M.Ryan,ATL,2021,2,REG,35,46,300,2,3,1,7,0,0,170,187,15,-6.289418620096967,0,1.7647058823529411,0.07475825217575952,2,3,0,0,0,0,-4.060972009552643,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,16.3,16.3
