player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000108,D.Akers,SF,2011,17,REG,1,1,14,1,0,0,-0,0,0,9,5,1,4.22313360706903,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,4.5600000000000005,4.5600000000000005
00-0000865,C.Batch,PIT,2011,13,REG,0,0,0,0,0,1,4,0,0,0,0,0,-1.7160557385068387,0,NA,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,-0.2,-0.2
00-0000865,C.Batch,PIT,2011,14,REG,0,2,0,0,0,1,6,0,0,8,0,0,-2.189360158983618,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
00-0000865,C.Batch,PIT,2011,16,REG,15,22,208,0,1,0,-0,0,0,181,92,9,3.808549283525225,0,0.15443718039563772,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.32,6.32
00-0002110,M.Brunell,NYJ,2011,15,REG,1,3,27,0,0,0,-0,0,0,46,26,1,-0.3560372703941539,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1.08,1.08
00-0003292,K.Collins,IND,2011,1,REG,16,31,197,1,0,3,25,2,1,267,84,10,-11.087886288659684,0,6.101937753172845e-4,1,0,0,1,1,0,-5.235826605348848,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.879999999999999,7.879999999999999
00-0003292,K.Collins,IND,2011,2,REG,19,38,191,1,1,2,15,1,1,282,86,12,-7.98114806198387,0,-0.039137155874669254,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.540000000000001,7.540000000000001
00-0003292,K.Collins,IND,2011,3,REG,13,29,93,0,0,0,-0,0,0,257,46,7,-6.028395387667185,0,-0.05504694605331275,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,3.72,3.72
00-0004161,J.Delhomme,HOU,2011,17,REG,18,28,211,1,0,2,18,1,1,217,56,9,-1.4104350829292167,0,0.0577014373216809,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,10.44,10.44
00-0004541,D.Driver,GB,2011,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,7,41,0,0,0,71,13,1,1.3179484824067913,0,0,4.1000000000000005,8.100000000000001
00-0004541,D.Driver,GB,2011,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,10,0,0,0,6,4,0,0.06745784227931395,0,0,1,2
00-0004541,D.Driver,GB,2011,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,8,0,0,-0.8342473997035995,0,0,0,0
00-0004541,D.Driver,GB,2011,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,4,20,1,0,0,30,2,1,2.232361646834761,0,0,8,11
00-0004541,D.Driver,GB,2011,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,2,5,0,0,0,18,1,0,-1.7279436794735474,0,0,0.5,1.5
00-0004541,D.Driver,GB,2011,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,5,25,1,0,0,30,5,2,1.6291811468836386,0,0,8.5,11.5
00-0004541,D.Driver,GB,2011,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,6,0,0,0,6,0,0,0.2688215277157724,0,0,0.6000000000000001,1.6
