player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,NE,2017,1,REG,16,36,267,0,0,3,20,0,0,567,112,11,1.7539015571237542,0,0.04211039320691501,2,0,0,0,0,0,-1.2001036263543736,0,0,0,0,0,0,0,0,0,0,NA,0,0,10.68,10.68
00-0019596,T.Brady,NE,2017,2,REG,30,39,447,3,0,2,11,0,0,281,237,19,25.08968255262337,0,0.3044642881512267,2,9,0,0,0,1,0.019422223134426098,0,0,0,0,0,0,0,0,0,0,NA,0,0,30.779999999999998,30.779999999999998
00-0019596,T.Brady,NE,2017,3,REG,25,35,378,5,0,5,41,3,1,415,107,16,10.521861319080926,1,0.2403946462185657,1,6,0,0,0,0,0.3701134752482176,0,0,0,0,0,0,0,0,0,0,NA,0,0,35.720000000000006,35.720000000000006
00-0019596,T.Brady,NE,2017,4,REG,32,45,307,2,0,3,14,0,0,341,132,18,9.75852805372757,0,0.14909151585877323,1,2,0,0,0,1,0.4136173576116562,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.48,20.48
00-0019596,T.Brady,NE,2017,5,REG,30,40,303,1,1,3,14,1,1,248,130,15,2.6531903688381533,0,0.11527605852640832,2,5,0,0,0,0,-1.1171994905348495,0,0,0,0,0,0,0,0,0,0,NA,0,0,12.620000000000001,12.620000000000001
00-0019596,T.Brady,NE,2017,6,REG,20,38,257,2,1,0,-0,0,0,480,72,13,12.770783685792688,0,0.13741249260543353,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,16.18,16.18
00-0019596,T.Brady,NE,2017,7,REG,21,29,249,2,0,2,8,1,0,218,114,13,14.046952871611635,0,0.23671448139972223,5,5,0,0,0,2,-2.000432697299402,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.46,18.46
00-0019596,T.Brady,NE,2017,8,REG,32,47,333,1,0,3,16,0,0,403,166,19,9.121344711370321,0,0.13962932935362027,1,2,0,0,0,1,0.3767114429792855,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.52,17.52
00-0019596,T.Brady,NE,2017,10,REG,25,34,266,3,0,1,6,0,0,309,106,16,11.874299223489622,0,0.2427104193656417,1,0,0,0,0,0,-1.1967443774919957,0,0,0,0,0,0,0,0,0,0,NA,0,0,22.64,22.64
00-0019596,T.Brady,NE,2017,11,REG,30,37,340,3,0,1,8,0,0,288,134,16,19.603818314353475,0,0.31868315383000795,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,25.6,25.6
00-0019596,T.Brady,NE,2017,12,REG,18,28,227,4,1,1,6,1,0,226,92,11,8.555890520452522,0,0.126521069050258,5,-4,0,1,1,0,-8.978795420611277,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.68,20.68
00-0019596,T.Brady,NE,2017,13,REG,21,30,258,0,1,3,14,0,0,244,88,15,12.500992370592705,0,0.19680298391300613,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.32,8.32
00-0019596,T.Brady,NE,2017,14,REG,24,43,233,1,2,2,10,0,0,386,132,9,-6.7076675817192335,0,0.003204882146656242,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,9.32,9.32
00-0019596,T.Brady,NE,2017,15,REG,22,35,298,1,1,2,15,0,0,352,72,14,6.3779202087613704,1,0.15552892675889327,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.72,15.72
00-0019596,T.Brady,NE,2017,16,REG,21,28,224,2,1,2,6,0,0,216,118,13,2.7852467891671195,0,0.20795470464251406,2,6,0,0,0,2,1.1096261825296097,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.56,15.56
00-0019596,T.Brady,NE,2017,17,REG,18,37,190,2,0,2,12,0,0,334,98,12,-2.1985605307714358,0,0.007545073289997266,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.600000000000001,15.600000000000001
00-0019596,T.Brady,NE,2017,19,POST,35,53,337,3,0,0,-0,0,0,354,187,20,15.632548817216298,0,0.15675176797272383,1,2,0,0,0,1,0.6998729007318616,0,0,0,0,0,0,0,0,0,0,NA,0,0,25.68,25.68
00-0019596,T.Brady,NE,2017,20,POST,26,38,290,2,0,3,12,0,0,434,91,16,8.661785667039766,0,0.19698710254012067,5,0,0,0,0,1,-0.9319522432051599,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.6,19.6
00-0019596,T.Brady,NE,2017,21,POST,28,48,505,3,0,1,5,1,1,552,211,23,15.127558791253334,0,0.18101355109314748,1,6,0,0,0,0,-0.21374180994462222,0,0,1,0,0,0,0,7,0,0,-1.036637402838096,0,0,30.800000000000004,30.800000000000004
00-0020531,D.Brees,NO,2017,1,REG,27,37,291,1,0,1,7,0,0,242,124,14,9.741758463693943,0,0.1913144339004721,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.64,15.64
00-0020531,D.Brees,NO,2017,2,REG,27,45,356,2,0,1,8,1,0,421,152,15,2.613347934553661,0,0.036236837562236376,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,22.240000000000002,22.240000000000002
00-0020531,D.Brees,NO,2017,3,REG,22,29,220,3,0,1,7,0,0,206,97,12,12.856830931815825,0,0.24597438574638997,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.8,20.8
00-0020531,D.Brees,NO,2017,4,REG,29,41,268,2,0,1,7,0,0,141,184,16,15.20644437206466,0,0.16512999164518113,4,3,0,1,0,2,-3.2040242356597446,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.02,19.02
00-0020531,D.Brees,NO,2017,6,REG,20,30,186,2,2,0,-0,0,0,141,123,9,-10.267745043521712,0,0.010191720690389386,1,1,0,0,0,0,0.12515183252980933,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.540000000000001,11.540000000000001
00-0020531,D.Brees,NO,2017,7,REG,27,38,331,1,2,1,7,0,0,265,193,16,14.260343742037037,0,0.20377014383023795,5,-1,1,0,0,1,9.586529631633312e-4,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.14,19.14
00-0020531,D.Brees,NO,2017,8,REG,23,28,299,0,0,2,13,0,0,148,191,11,6.121450606062369,0,0.1602565504229985,4,-2,0,0,0,0,-3.7120608627446927,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.760000000000002,11.760000000000002
00-0020531,D.Brees,NO,2017,9,REG,22,27,263,2,0,1,7,1,0,204,155,13,12.189741831982511,0,0.25728953425923645,4,2,0,0,0,0,-3.060656900925096,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.72,18.72
00-0020531,D.Brees,NO,2017,10,REG,18,25,184,0,0,0,-0,0,0,115,111,9,13.76107265174744,0,0.23721381965359717,2,6,1,0,0,1,2.2496735360473394,0,0,0,0,0,0,0,0,0,0,NA,0,0,13.96,13.96
00-0020531,D.Brees,NO,2017,11,REG,29,41,385,2,1,2,10,0,0,304,170,16,10.130743729783553,0,0.16337969055345114,1,2,0,0,0,1,2.309419624041766,0,0,0,0,0,0,0,0,0,0,NA,0,0,21.599999999999998,21.599999999999998
00-0020531,D.Brees,NO,2017,12,REG,22,32,246,1,0,3,23,1,0,270,156,10,-1.2750765594046714,0,0.05401934879739965,1,5,0,0,0,0,0.2521703781094402,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.34,14.34
00-0020531,D.Brees,NO,2017,13,REG,25,34,269,1,0,2,17,0,0,186,168,12,6.522258284387037,0,0.1368773626749423,4,-3,0,0,0,0,-4.024528216163162,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.459999999999999,14.459999999999999
00-0020531,D.Brees,NO,2017,14,REG,26,35,271,2,1,2,15,0,0,182,159,16,1.3807129147403105,0,0.11145526237963464,1,2,0,0,0,1,1.5230040131136775,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.04,17.04
00-0020531,D.Brees,NO,2017,15,REG,26,36,281,2,1,0,-0,0,0,195,180,13,7.444066824993925,0,0.13282401111725928,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,17.14,17.14
00-0020531,D.Brees,NO,2017,16,REG,21,28,239,1,1,1,10,0,0,149,114,9,-3.0042819757945836,0,0.06825981401085694,4,-4,0,1,0,0,-1.2618389969602841,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.16,11.16
00-0020531,D.Brees,NO,2017,17,REG,22,30,245,1,0,2,14,0,0,248,92,10,8.964781196312355,0,0.19322715079693425,1,2,0,0,0,1,0.4673794745467603,0,0,0,0,0,0,0,0,0,0,NA,0,0,14,14
00-0020531,D.Brees,NO,2017,18,POST,23,33,376,2,1,1,7,0,0,379,144,17,16.445580243148864,0,0.2888553087941092,1,-1,0,0,0,0,-0.5265133646898903,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.939999999999998,20.939999999999998
00-0020531,D.Brees,NO,2017,19,POST,25,40,294,3,2,2,16,1,0,329,125,18,6.680354327078823,0,0.09023815393322046,2,1,0,0,0,1,0.49536934774369,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.86,19.86
00-0021206,J.McCown,NYJ,2017,1,REG,26,39,187,0,2,1,11,0,0,207,98,8,-11.900889092306809,0,0.03302339131069206,2,0,1,0,0,1,3.4028801540844142,0,0,0,0,0,0,0,0,0,0,NA,0,0,9.48,9.48
