player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,NE,2016,5,REG,28,40,406,3,0,1,3,0,0,319,185,15,24.306163506914388,0,0.2724708673922854,2,14,0,0,0,1,2.938187399005983,0,0,0,0,0,0,0,0,0,0,NA,0,0,29.64,29.64
00-0019596,T.Brady,NE,2016,6,REG,29,35,376,3,0,3,18,0,0,209,200,17,18.648239883809044,0,0.30923889423323053,2,2,0,0,0,0,-1.7960286807501689,0,0,0,0,0,0,0,0,0,0,NA,0,0,27.24,27.24
00-0019596,T.Brady,NE,2016,7,REG,19,26,222,2,0,0,-0,0,0,171,101,9,13.94053770788014,0,0.21680258471168434,5,13,0,0,0,3,1.1416437515290454,0,0,0,0,0,0,0,0,0,0,NA,0,0,18.180000000000003,18.180000000000003
00-0019596,T.Brady,NE,2016,8,REG,22,33,315,4,0,4,22,0,0,330,150,15,21.292270067128666,0,0.27503553058750607,1,15,0,0,0,1,2.0436505898833275,0,0,0,0,0,0,0,0,0,0,NA,0,0,30.1,30.1
00-0019596,T.Brady,NE,2016,10,REG,23,32,316,0,1,2,12,0,0,352,149,13,12.76980186974358,0,0.21464509736808166,5,7,0,1,0,2,-2.403793588280678,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.34,11.34
00-0019596,T.Brady,NE,2016,11,REG,24,40,280,4,0,1,7,0,0,321,183,14,8.627807410651299,0,0.15553087917080924,4,12,0,0,0,1,-3.5024508321657777,0,0,0,0,0,0,0,0,0,0,NA,0,0,28.400000000000002,28.400000000000002
00-0019596,T.Brady,NE,2016,12,REG,30,50,286,2,0,0,-0,1,0,336,141,18,6.3515401943972485,0,0.05976739656245606,3,-4,0,0,0,0,-5.552058500703424,0,0,0,0,0,0,0,0,0,0,NA,0,0,19.04,19.04
00-0019596,T.Brady,NE,2016,13,REG,33,46,269,1,0,0,-0,0,0,277,107,14,0.9025088588648682,0,0.06099791684475058,3,1,0,0,0,1,-0.020762996980920434,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.86,14.86
00-0019596,T.Brady,NE,2016,14,REG,25,38,406,3,1,1,5,0,0,336,207,13,13.045121677743737,0,0.1847975701406369,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,26.14,26.14
00-0019596,T.Brady,NE,2016,15,REG,16,32,188,0,0,2,11,2,0,232,73,11,-0.3432804194393726,0,-0.019312336161314725,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.420000000000001,7.420000000000001
00-0019596,T.Brady,NE,2016,16,REG,17,27,214,3,0,1,9,1,0,311,40,12,12.429932066112793,0,0.2582113628221906,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.560000000000002,20.560000000000002
00-0019596,T.Brady,NE,2016,17,REG,25,33,276,3,0,0,-0,0,0,159,208,12,15.325837229803998,1,0.24225730232440373,1,6,0,0,0,1,1.4344658977352083,0,0,0,0,0,0,0,0,0,0,NA,0,0,25.64,25.64
00-0019596,T.Brady,NE,2016,19,POST,18,38,287,2,2,2,8,0,0,478,81,12,-0.13570975977927446,0,0.013710427632654438,4,-1,0,0,0,0,-1.3943060173187405,0,0,0,0,0,0,0,0,0,0,NA,0,0,15.38,15.38
00-0019596,T.Brady,NE,2016,20,POST,32,42,384,3,0,2,10,0,0,240,190,17,17.6206238395447,0,0.2507055643032175,4,-1,0,0,0,1,-2.041065229626838,0,0,0,0,0,0,0,0,0,0,NA,0,0,27.259999999999998,27.259999999999998
00-0019596,T.Brady,NE,2016,21,POST,43,62,466,2,1,5,24,0,0,565,157,26,8.93245327857148,1,0.18395397676717273,1,15,0,0,0,1,2.0532185131451115,0,0,0,0,0,0,0,0,0,0,NA,0,0,28.14,28.14
00-0020337,S.Smith,BAL,2016,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,8,19,0,0,0,41,12,0,-1.190828482271172,0,0,1.9000000000000001,6.9
00-0020337,S.Smith,BAL,2016,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,6,64,0,0,0,80,5,3,0.05888991533190824,0,0,6.4,9.4
00-0020337,S.Smith,BAL,2016,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,8,11,87,0,0,0,66,39,5,3.585929114720784,0,0,8.700000000000001,16.700000000000003
00-0020337,S.Smith,BAL,2016,4,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,8,11,111,1,0,0,88,60,4,4.417708831390116,0,0,17.1,25.1
00-0020337,S.Smith,BAL,2016,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,3,29,0,0,0,27,2,2,0.9817864659707993,0,0,2.9000000000000004,5.9
00-0020337,S.Smith,BAL,2016,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,7,47,0,0,0,46,26,2,0.5142782997572795,1,0,6.7,10.7
00-0020337,S.Smith,BAL,2016,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,5,7,60,1,0,0,98,10,5,3.98490862629842,0,0,12,17
00-0020337,S.Smith,BAL,2016,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,8,9,99,1,0,0,74,34,5,7.164606429520063,0,0,15.9,23.9
00-0020337,S.Smith,BAL,2016,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,4,20,0,0,0,17,3,1,0.46073620941024274,0,0,2,6
00-0020337,S.Smith,BAL,2016,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,6,10,53,0,0,0,42,20,3,1.6926397992065176,0,0,5.300000000000001,11.3
00-0020337,S.Smith,BAL,2016,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,4,6,57,0,0,0,55,9,2,3.4172930505592376,0,0,5.7,9.7
00-0020337,S.Smith,BAL,2016,15,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,7,40,1,0,0,133,3,2,2.3513209447785774,0,0,10,12
00-0020337,S.Smith,BAL,2016,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,7,7,79,1,0,0,41,38,2,5.893440405256115,1,0,15.9,22.9
00-0020337,S.Smith Sr.,BAL,2016,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,5,34,0,0,0,65,20,3,3.455454975250177,0,0,3.4000000000000004,6.4
00-0020531,D.Brees,NO,2016,1,REG,28,42,423,4,0,1,4,1,1,304,208,16,15.37267069364979,0,0.20665857242018573,2,5,0,0,0,1,-0.9011844092160128,0,0,0,0,0,0,0,0,0,0,NA,0,0,31.42,31.42
00-0020531,D.Brees,NO,2016,2,REG,29,44,263,1,0,2,16,0,0,336,117,15,-1.008524683956632,0,0.04273229858477609,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,14.52,14.52
00-0020531,D.Brees,NO,2016,3,REG,36,54,376,3,1,2,17,0,0,413,151,21,0.80084686882239,0,0.07092287792298246,2,9,0,0,0,1,-0.3390085323480889,0,0,0,0,0,0,0,0,0,0,NA,0,0,25.939999999999998,25.939999999999998
00-0020531,D.Brees,NO,2016,4,REG,23,36,207,2,2,2,15,0,0,203,109,15,8.440751285670558,0,0.12769790682249946,4,-4,0,0,0,0,-3.102253971097525,0,0,0,0,0,0,0,0,0,0,NA,0,0,11.88,11.88
00-0020531,D.Brees,NO,2016,6,REG,34,49,465,4,1,1,5,0,0,396,209,19,19.386239740828593,0,0.2089424244721214,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,32.6,32.6
00-0020531,D.Brees,NO,2016,7,REG,37,48,367,3,1,1,8,0,0,286,176,20,12.63770167477196,0,0.22304947366229677,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,24.68,24.68
00-0020531,D.Brees,NO,2016,8,REG,27,35,265,1,0,2,13,0,0,239,128,17,9.94135362075323,0,0.20690747699972895,1,1,1,0,0,1,1.8090292421984486,0,0,0,0,0,0,0,0,0,0,NA,0,0,20.7,20.7
