player_id,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000108,D.Akers,PHI,2006,4,REG,1,1,11,0,0,0,-0,0,0,0,11,0,-0.7023373222327791,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.44,0.44
00-0000166,S.Alexander,DEN,2006,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,2,24,0,0,0,5,19,1,2.3683539970661514,0,0,2.4000000000000004,4.4
00-0000166,S.Alexander,DEN,2006,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,2,8,0,0,0,0,8,0,-0.7675472324481234,0,0,0.8,2.8
00-0000166,S.Alexander,DEN,2006,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,24,0,0,0,12,12,1,1.447806243551895,0,0,2.4000000000000004,3.4000000000000004
00-0000166,S.Alexander,DEN,2006,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,6,6,49,0,0,0,27,22,3,3.127104847691953,0,0,4.9,10.9
00-0000166,S.Alexander,DEN,2006,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,4,0,0,0,3,1,0,-0.08143934374675155,0,0,0.4,1.4
00-0000166,S.Alexander,DEN,2006,12,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,3,19,1,0,0,11,8,2,1.9358407022082247,0,0,7.9,10.9
00-0000166,S.Alexander,DEN,2006,13,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,2,16,1,0,0,10,6,2,4.021300368243828,0,0,7.6,9.6
00-0000166,S.Alexander,DEN,2006,14,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,1,16,0,0,0,12,4,1,1.2902581363450736,0,0,1.6,2.6
00-0000251,M.Alstott,TB,2006,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,2,0,0,0,1,0.3377852630801499,0,3,3,26,0,0,0,9,17,2,2.1221827956615016,0,0,2.8000000000000003,5.800000000000001
00-0000251,M.Alstott,TB,2006,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,3,10,0,0,0,4,6,1,1.3950667293393053,0,0,1,4
00-0000251,M.Alstott,TB,2006,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,3,12,0,0,0,1,-0.6072350250324234,0,2,2,-3,0,0,0,-10,7,0,-1.7373642165912315,0,0,0.9,2.9
00-0000251,M.Alstott,TB,2006,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,4,3,1,0,0,1,-1.0537618780508637,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.3,6.3
00-0000251,M.Alstott,TB,2006,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,3,3,10,0,0,0,-4,14,1,1.1866346297902055,0,0,1,4
00-0000251,M.Alstott,TB,2006,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,2,2,0,0,0,0,0,0,0,-2.547095356457797,0,0,0,2
00-0000251,M.Alstott,TB,2006,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,3,0,0,0,1,0.4010707645211369,0,2,2,16,0,0,0,-7,23,1,0.24147497327066958,0,0,1.9000000000000001,3.9000000000000004
00-0000251,M.Alstott,TB,2006,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,6,28,0,0,0,2,0.6079331620130688,0,1,1,8,0,0,0,0,8,0,-0.4359384314157069,0,0,3.6,4.6
